EntryTime,Expiry,Type,Strike,Direction,PnL
2024-08-21T14:00:00.0,2024-08-22T20:00:00.0,Call,565.0,-1,0.43
2024-08-21T14:00:00.0,2024-08-22T20:00:00.0,Put,549.0,1,-0.15
2024-08-21T14:00:00.0,2024-08-22T20:00:00.0,Call,570.0,1,-0.03
2024-08-22T14:00:00.0,2024-08-23T20:00:00.0,Put,555.0,-1,0.5
2024-08-22T14:00:00.0,2024-08-23T20:00:00.0,Call,568.0,-1,0.43
2024-08-22T14:00:00.0,2024-08-23T20:00:00.0,Put,547.0,1,-0.08
2024-08-22T14:00:00.0,2024-08-23T20:00:00.0,Call,571.0,1,-0.09999999999999999
2024-08-23T14:00:00.0,2024-08-23T20:00:00.0,Put,556.0,-1,0.47
2024-08-23T14:00:00.0,2024-08-23T20:00:00.0,Call,565.0,-1,0.29
2024-08-23T14:00:00.0,2024-08-23T20:00:00.0,Put,550.0,1,-0.13
2024-08-23T14:00:00.0,2024-08-23T20:00:00.0,Call,571.0,1,-0.02
2024-08-26T14:00:00.0,2024-08-27T20:00:00.0,Put,558.0,-1,0.4
2024-08-26T14:00:00.0,2024-08-27T20:00:00.0,Call,567.0,-1,0.36
2024-08-26T14:00:00.0,2024-08-27T20:00:00.0,Put,552.0,1,-0.07
2024-08-26T14:00:00.0,2024-08-27T20:00:00.0,Call,570.0,1,-0.07
2024-08-27T14:00:00.0,2024-08-28T20:00:00.0,Put,553.0,-1,0.53
2024-08-27T14:00:00.0,2024-08-28T20:00:00.0,Call,566.0,-1,0.5499999999999999
2024-08-27T14:00:00.0,2024-08-28T20:00:00.0,Put,549.0,1,-0.19
2024-08-27T14:00:00.0,2024-08-28T20:00:00.0,Call,572.0,1,-0.05
2024-08-28T14:00:00.0,2024-08-29T20:00:00.0,Put,554.0,-1,0.5
2024-08-28T14:00:00.0,2024-08-29T20:00:00.0,Call,567.0,-1,0.52
2024-08-28T14:00:00.0,2024-08-29T20:00:00.0,Put,540.0,1,-0.01
2024-08-28T14:00:00.0,2024-08-29T20:00:00.0,Call,572.0,1,-0.09
2024-08-29T14:00:00.0,2024-08-30T20:00:00.0,Put,556.0,-1,0.47
2024-08-29T14:00:00.0,2024-08-30T20:00:00.0,Call,567.0,-1,0.36
